PROGRAMA ORCAMENTARIO;DEPOSITO;DEPARTAMENTO;CÓDIGO;DESCRICAO;MÊS;Qtd
A188_BLINDAGEM;INVESTIMENTO;DPC;405491;TERMINAL TUBULAR CU ESTANHADO 35MM2;01/12/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;410153;CX BLIND P/ MED TRI C/ ABERT INTEL;01/01/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;410153;CX BLIND P/ MED TRI C/ ABERT INTEL;01/02/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;410153;CX BLIND P/ MED TRI C/ ABERT INTEL;01/03/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;410153;CX BLIND P/ MED TRI C/ ABERT INTEL;01/04/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;410153;CX BLIND P/ MED TRI C/ ABERT INTEL;01/05/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;410153;CX BLIND P/ MED TRI C/ ABERT INTEL;01/06/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;410153;CX BLIND P/ MED TRI C/ ABERT INTEL;01/07/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;410153;CX BLIND P/ MED TRI C/ ABERT INTEL;01/08/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;410153;CX BLIND P/ MED TRI C/ ABERT INTEL;01/09/2026;405
A188_BLINDAGEM;INVESTIMENTO;DPC;410153;CX BLIND P/ MED TRI C/ ABERT INTEL;01/10/2026;167
A188_BLINDAGEM;INVESTIMENTO;DPC;410153;CX BLIND P/ MED TRI C/ ABERT INTEL;01/11/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;410153;CX BLIND P/ MED TRI C/ ABERT INTEL;01/12/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;403499;ABRACADEIRA PLAS 300 X 4,80MM;01/01/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;403499;ABRACADEIRA PLAS 300 X 4,80MM;01/02/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;403499;ABRACADEIRA PLAS 300 X 4,80MM;01/03/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;403499;ABRACADEIRA PLAS 300 X 4,80MM;01/04/2026;0
